raceId,year,driverId,number_of_stops,pit_delta,race_time
841,2011,17,3,1.2029333333333334,90.1405
841,2011,4,3,1.20275,90.03385
841,2011,13,3,1.2072833333333333,90.92408333333333
841,2011,20,2,0.7773166666666667,89.50431666666667
841,2011,1,2,0.7737666666666667,89.87593333333334
841,2011,808,2,0.8369666666666666,90.01365
841,2011,18,3,1.0475166666666667,90.40938333333334
842,2011,17,4,1.4798833333333334,98.1036
842,2011,814,3,1.1528166666666666,99.18991666666666
842,2011,1,4,1.5501833333333332,98.82981666666667
842,2011,20,3,1.1204166666666666,97.66386666666666
842,2011,2,3,1.16205,98.08178333333333
842,2011,18,3,1.1225666666666667,97.71821666666666
842,2011,13,3,1.2443,98.27983333333333
842,2011,4,4,1.634,98.28466666666667
842,2011,30,3,1.1177333333333332,99.0788
842,2011,155,2,0.7787,98.77118333333334
843,2011,30,3,1.0647666666666666,97.48753333333333
843,2011,17,3,1.0944166666666666,97.09635
843,2011,814,2,0.7201166666666666,98.11638333333333
843,2011,3,3,1.0582666666666667,97.19456666666666
843,2011,67,3,1.1443333333333334,98.48161666666667
843,2011,18,3,1.0962333333333334,97.1371
843,2011,20,2,0.7254666666666667,97.05706666666667
843,2011,155,2,0.72985,98.02498333333334
843,2011,13,2,0.7132,97.23443333333333
843,2011,1,3,1.0329666666666666,96.97043333333333
843,2011,4,2,0.7295833333333334,97.4808
843,2011,22,2,0.7198333333333333,98.47358333333334
843,2011,808,2,0.7331,97.92716666666666
843,2011,2,2,0.73395,98.18275
844,2011,30,4,1.5344166666666668,91.7167
844,2011,808,4,1.4374166666666666,91.42876666666666
844,2011,13,4,1.5583333333333333,91.62301666666667
844,2011,1,4,1.6606166666666666,90.96316666666667
844,2011,67,3,1.0988166666666668,91.4492
844,2011,17,4,1.4066833333333333,90.43941666666667
844,2011,4,4,1.43535,90.46055
844,2011,3,4,1.4126166666666666,91.08495
844,2011,2,4,1.4495833333333332,91.30691666666667
844,2011,20,4,1.36015,90.29263333333333
844,2011,18,3,1.0904,91.28315
844,2011,155,3,1.12885,91.59298333333334
845,2011,20,4,1.3476333333333332,99.05501666666666
845,2011,17,4,1.3537166666666667,99.85445
845,2011,1,4,1.3576166666666667,99.06551666666667
845,2011,18,3,1.01475,99.64996666666667
848,2011,1,3,1.02645,100.37265
848,2011,3,3,1.0916166666666667,101.23765
848,2011,17,3,1.0191833333333333,100.05706666666667
848,2011,20,3,1.0296333333333334,99.60281666666667
848,2011,4,3,1.0360666666666667,99.78433333333334
848,2011,18,3,1.0300166666666666,100.6039
848,2011,13,3,1.1109833333333334,100.46456666666667
849,2011,30,3,1.4440666666666666,89.98513333333334
849,2011,2,2,0.8191666666666667,89.94563333333333
849,2011,16,3,1.2842333333333333,90.01513333333334
849,2011,808,2,0.8175333333333333,90.03128333333333
849,2011,17,3,1.2208,88.96905
849,2011,4,3,1.2335666666666667,88.6866
849,2011,1,3,1.2084166666666667,89.1697
849,2011,3,2,0.8186833333333333,89.69768333333333
849,2011,815,2,0.8500833333333333,89.77976666666666
849,2011,153,2,0.8135666666666667,90.00506666666666
849,2011,20,3,1.3252166666666667,88.96178333333333
849,2011,13,3,1.1887666666666667,89.1701
850,2011,17,3,1.0343833333333334,97.6687
850,2011,1,3,1.03135,97.50556666666667
850,2011,4,3,1.0073333333333334,97.5719
850,2011,20,3,1.0129666666666666,98.30425
850,2011,13,3,1.0405333333333333,98.37643333333334
850,2011,16,2,0.6953,98.94236666666667
851,2011,17,5,1.7227333333333332,107.53465
851,2011,13,4,1.4506833333333333,108.09188333333333
851,2011,18,3,1.0482833333333332,106.70561666666667
851,2011,20,3,1.0160833333333332,106.76541666666667
851,2011,4,4,1.4359333333333333,107.03593333333333
852,2011,811,3,1.0919833333333333,88.29796666666667
852,2011,17,2,0.6993666666666667,86.81056666666667
